75259 ILLINOIS
46490 NORTH DAKOTA
88906 Harper County, NE
65960 Etowah County, HI
21314 Labette County, ME
24012 Essex County, NV
25764 Eaton County, UT
79469 Marion County, AR
63611 Atascosa County, ME
10476 Logan County, OK
49426 MISSISSIPPI
41382 Mason County, NJ
22805 Hickory County, OH
24852 Fairfax County, ME
91969 Jefferson County, FL
77724 Okanogan County, VA
87259 Greene County, NE
20505 Cedar County, CA
14371 Jefferson County, CA
36916 Baltimore County, OR
80677 Linn County, OH
22851 Sheridan County, MA
36680 Pine County, ME
19524 Wayne County, AZ
29964 Newaygo County, WY
63935 Orange County, PA
77332 Billings County, CO
69401 Limestone County, KY
66417 GEORGIA
26978 Kidder County, NY
13239 Piute County, VA
15358 Meade County, HI
33598 Crawford County, NM
67051 Finney County, MT
09005 Faribault County, WV
41400 Howard County, MN
04245 Cooke County, KY
18875 Shannon County, MA
12239 Fond du Lac County, MN
81804 Platte County, MO
14071 Ashtabula County, MT
52834 Petersburg, City of, NV
05303 Bailey County, KS
77929 Granite County, DE
16487 Ralls County, NM
47940 El Dorado County, MD
55358 Bergen County, LA
66728 Mineral County, HI
65165 Silver Bow County, ID
40187 Potter County, VA
27180 RHODE ISLAND
65585 Jessamine County, ND
80730 Frontier County, VT
20262 Livingston County, LA
70996 Buena Vista County, NH
73670 Coahoma County, AR
52033 Northumberland County, NM
86903 Potter County, NC
32967 Adams County, NM
13380 NEW YORK
14966 Lewis County, NJ
28577 Taylor County, MA
41823 Finney County, CT
88435 Randolph County, IN
65804 Caswell County, NM
72500 Washington County, IA
07255 Randolph County, ID
76029 Val Verde County, VT
08642 Livingston County, IN
46331 Hancock County, MA
03379 Trimble County, CT
76848 Decatur County, LA
19973 Oklahoma County, AZ
50488 Garfield County, MS
38218 Dickenson County, MI
75848 Columbiana County, MD
85206 Chesapeake, City of, NE
72225 Kimble County, VT
14212 Sawyer County, AL
37462 Menard County, MS
69331 Herkimer County, VT
35776 Adams County, SC
41978 Nowata County, AL
64370 Fayette County, WV
66144 Tulsa County, VA
54477 Swain County, MS
85519 Dallas County, RI
33200 Carter County, ID
90711 Caldwell County, AL
24479 Sussex County, MI
59945 St. Charles Parish, OH
35341 Morrison County, AR
75012 Adair County, CT
81064 Dickinson County, NH
07912 Pope County, NH
25878 Jerauld County, IL
46260 Pennington County, WA
65826 Duchesne County, UT
87808 Caldwell County, OR
03093 Ida County, CO
22134 Graham County, CT
30878 Huntington County, TN
81041 Rappahannock County, TX
54772 Chase County, NV
46192 Johnson County, CA
62423 Wallowa County, GA
18792 Maui County, MN
92663 Leon County, GA
82816 MONTANA
12934 Williamsburg, City of, IA
26278 Mineral County, PA
11150 Cherokee County, NY
89772 Wythe County, HI
71649 Coahoma County, AK
27262 Calhoun County, KS
06307 Pike County, MT
74301 Blair County, NH
54920 Lincoln County, NV
85596 Yancey County, NY
51926 Heard County, MI
54886 Garland County, WY
67929 Gallatin County, MA
08009 Anderson County, NH
65737 Clay County, KY
48699 Pontotoc County, IA
01731 Lavaca County, UT
09480 McIntosh County, MS
30936 Coweta County, AR
28401 Wayne County, DE
18919 Coke County, VA
75281 Campbell County, OR
32769 Chickasaw County, OH
17433 Mason County, MI
84214 Kings County, SD
35627 Elkhart County, GA
09137 Windham County, MN
82860 NORTH CAROLINA
26965 Broward County, IL
44967 Osborne County, TX
46711 Stark County, WI
89400 Stevens County, NH
18739 Cavalier County, CT
16137 Cumberland County, MO
09117 UTAH
69576 Bennington County, LA
83453 Lauderdale County, CT
41383 Greenville County, OH
43094 Goochland County, MT
06566 Washington County, PA
57851 Hardeman County, MA
88276 Pike County, CO
32292 Lincoln County, CT
58951 Pondera County, SD
18402 San Augustine County, WI
61207 Rains County, KS
08608 Mountrail County, NJ
97625 Union County, OK
46797 Isle of Wight County, TN
16258 Christian County, HI
37291 Lauderdale County, MO
43128 Indiana County, IN
49868 Cherokee County, MN
43946 Faulk County, OR
96474 Floyd County, NC
14278 NEW HAMPSHIRE
83351 Washington County, NC
10394 Grafton County, CO
98640 Glades County, FL
37859 Faulkner County, HI
34834 Murray County, PA
07832 Addison County, MT
60102 Perkins County, AR
07308 Fleming County, AL
36396 Chickasaw County, KY
76513 Bosque County, AZ
20371 Macon County, MN
94887 Champaign County, MD
67412 Clark County, OH
12204 Somerset County, SD
10950 Wilkes County, MD
61433 Decatur County, MT
02086 Leon County, MN
70305 Terrell County, CO
66739 Sanpete County, OH
60003 Osceola County, WA
19185 Metcalfe County, TN
67151 Brookings County, WV
82158 West Baton Rouge Parish, PA
66977 Amherst County, SC
34092 Jones County, SD
41135 Huron County, AZ
43511 St. John the Baptist Parish, TN
95952 Putnam County, HI
85582 Delaware County, ID
97808 Wasatch County, TN
05638 Warren County, CO
75408 Coos County, WV
52105 Southampton County, OH
42398 HAWAII
32841 McLean County, RI
91191 Mackinac County, NJ
62398 Troup County, MI
59576 Orangeburg County, AL
18977 Trigg County, FL
09343 Taylor County, NM
62856 Linn County, KS
91466 Jefferson County, FL
40911 Dooly County, ME
57153 KANSAS
64704 Valley County, OH
58378 Des Moines County, SC
04418 Polk County, SD
78935 Shasta County, MT
20838 Gilmer County, IN
76190 NORTH CAROLINA
21973 Zavala County, WV
53470 Onslow County, CT
19262 Griggs County, AK
33982 O'Brien County, NE
17267 Essex County, CT
05849 Sangamon County, MT
90869 Warren County, MT
77070 Catron County, WA
32512 Curry County, VA
61784 Mitchell County, PA
97361 Hinsdale County, LA
63254 Meigs County, ME
77668 Iowa County, LA
50830 Orange County, CA
23231 LaSalle County, MA
52257 Major County, RI
22740 Charlotte County, MT
86538 Hodgeman County, MO
68863 Pike County, NJ
51157 Moody County, KY
89658 Lynn County, OK
67128 Mesa County, CA
83362 Shelby County, NY
77996 Cass County, OR
69412 TENNESSEE
37566 Huron County, WY
24629 Dallam County, GA
13137 Austin County, CT
56633 Marion County, KS
10195 OREGON
53972 Clay County, FL
58755 Sullivan County, KS
84748 Terrell County, DE
70125 Mecklenburg County, MS
24017 Platte County, NJ
92687 Meeker County, UT
48432 Randolph County, WY
16256 Salem County, OK
06598 Mitchell County, MN
41073 Fulton County, WV
79510 CONNECTICUT
47074 Taylor County, MT
60305 NEW HAMPSHIRE
11376 Pasco County, CO
84520 Kenton County, MN
05151 Lake County, UT
01749 Lincoln County, MN
85786 Williamsburg County, IA
87404 White County, NJ
12213 Kit Carson County, KY
87817 Hickman County, UT
15181 Polk County, WY
03312 Bernalillo County, MN
30321 Nelson County, IL
86941 Hampden County, AZ
18000 Tioga County, VA
12808 Moore County, OK
52594 Isle of Wight County, WV
49547 Sheridan County, ID
71418 Buena Vista, City of, NY
42604 Lafayette County, OH
14726 Presque Isle County, IL
18612 Anoka County, CA
54292 Carroll County, WI
08653 Telfair County, MN
93628 Scott County, PA
09090 Sabine County, AK
82442 Cochise County, SC
06938 Russell County, AZ
57788 Union County, MO
04108 Carroll County, WI
36770 NORTH DAKOTA
99183 Powder River County, NH
15451 Seward County, VA
12505 ARKANSAS
85116 Parmer County, NC
27137 Essex County, AR
74701 West Feliciana Parish, CT
18057 MICHIGAN
94198 Perry County, TX
26395 Monroe County, CO
78373 Montour County, NY
78400 Perry County, WV
48859 Jefferson County, MS
21850 Oscoda County, NE
30310 Cass County, SD
79874 SOUTH CAROLINA
77323 Fairbanks North Star Borough, WI
99197 Buchanan County, NC
65510 Trigg County, CO
11368 RHODE ISLAND
85312 Garden County, WI
70433 Crawford County, ID
89299 Union County, NV
29648 Franklin Parish, KY
50423 Sevier County, WI
52751 Washington County, GA
07988 Dane County, MO
98896 Spokane County, NH
20615 Lake County, KS
59102 Sussex County, MI
56255 Calhoun County, WI
23820 Marion County, IL
53658 Falls County, ND
70504 Burke County, NM
64197 Asotin County, WV
71360 Marshall County, PA
05115 Lincoln County, SD
29241 Garvin County, SD
87830 Runnels County, AL
59318 Clark County, MI
33140 Winkler County, MS
03916 Jasper County, AR
50760 Brooks County, NH
82232 Neshoba County, KY
68310 Putnam County, MS
35959 Carroll County, MD
18330 Monroe County, VT
62372 Pierce County, NJ
23697 Northampton County, MI
01051 Johnson County, CO
04349 Richmond County, IA
78855 Fulton County, NE
53190 Delta County, NJ
15547 Martin County, WI
11421 Hall County, AZ
71546 Fleming County, MD
93590 Rankin County, OR
79385 Wasatch County, SC
16726 Bacon County, SD
57847 Atchison County, ID
78835 Licking County, UT
74553 Crawford County, KS
12662 Halifax County, AZ
84670 Sharkey County, OH
13263 Graham County, AR
32129 Clearwater County, CO
79623 Marlboro County, MN
40558 ALABAMA
18785 Campbell County, MA
52631 Humphreys County, AK
03480 Nowata County, NY
25180 Sussex County, AR
79389 Grant County, MN
69962 Adams County, PA
08606 Greenwood County, LA
11715 Rockingham County, UT
25226 Quitman County, ND
39357 Jackson County, IL
70301 Crockett County, CA
77142 Wexford County, ME
36010 Webster County, LA
77385 Wheeler County, AR
17355 Swisher County, IL
28896 Martin County, AK
80433 Vermillion County, VT
34322 Cheyenne County, NV
38914 Washington County, GA
19113 Etowah County, GA
05919 Nash County, OK
84655 Calcasieu Parish, VT
01049 Adams County, WV
22393 Walworth County, FL
32616 Polk County, NH
99175 Columbia County, DE
43658 Tioga County, HI
03110 Winchester, City of, SC
07651 Richardson County, MA
23662 Mariposa County, IN
55383 Whitman County, RI
56784 Baker County, MN
55384 Colfax County, VT
23687 Baylor County, FL
51778 Walworth County, DC
44673 Lewis and Clark County, KY
92084 Winchester, City of, CA
28990 Bertie County, WA
19324 Craig County, MN
29455 Harrisonburg, City of, HI
65624 McIntosh County, OR
16544 Crockett County, LA
30426 Worcester County, ME
38311 Bryan County, UT
11146 Raleigh County, AK
33543 Alpena County, NJ
11296 Baltimore City, KY
67945 Wilcox County, NY
94374 Appomattox County, SD
48577 Hardin County, SC
49619 Escambia County, VA
70762 Polk County, NV
93584 Butte County, PA
36225 Allamakee County, TN
61967 Henry County, MT
13614 Sully County, OH
32338 Mississippi County, AZ
95670 Covington, City of, CT
73674 Nevada County, TX
50574 Pike County, TN
56829 Tom Green County, CO
64663 Essex County, VA
07656 Henrico County, IA
96044 Charlevoix County, SC
21928 Beaver County, KY
82795 KANSAS
06854 LOUISIANA
23517 Sevier County, TN
75515 Medina County, WA
97018 Ramsey County, NJ
58726 Greene County, MO
36956 Gentry County, ID
60022 Swift County, KY
81238 Jefferson County, MI
01127 Douglas County, MO
17199 St. Charles County, WY
73347 Hoke County, PA
12075 El Paso County, NE
67959 KENTUCKY
31332 Reeves County, OR
48177 Wood County, MS
46999 Marion County, RI
62024 Greenbrier County, SC
95130 Aleutians West Census Area, DC
04409 Rowan County, KS
72028 Hancock County, KS
79854 Strafford County, WA
00285 Clark County, KS
45602 Roanoke County, MT
35701 Marion County, NJ
16447 Newton County, OH
47657 Van Buren County, IA
46014 Ida County, OH
58436 Thomas County, LA
72283 Dooly County, IA
78695 Morris County, WY
46521 Sheridan County, WA
11488 Scott County, PA
51976 Knox County, RI
17110 Kittitas County, NY
25238 Martin County, AL
03506 Shelby County, NC
47577 Lincoln County, OR
54506 McKinley County, WV
33540 Huerfano County, MA
48212 Ramsey County, NC
70128 Newton County, MN
31871 Gilpin County, OR
08992 Calhoun County, SD
95942 Bourbon County, NY
07664 Somerset County, AZ
29773 Henderson County, WV
44638 Rapides Parish, MO
09438 Jackson County, MA
65378 Twiggs County, CA
29349 Greeley County, UT
16020 Prince George's County, UT
68795 Alleghany County, MN
90216 Kenosha County, MD
29378 Park County, OR
34207 Lawrence County, VA
51897 Shenandoah County, NY
65968 Prairie County, DC
39185 Ida County, MI
82037 Mackinac County, AK
56478 Pottawatomie County, DC
81126 Hardy County, MI
31431 Guilford County, UT
50040 Murray County, WY
10044 Dyer County, OH
01993 Mariposa County, NE
38834 Monroe County, GA
05979 Huerfano County, WA
27977 Barrow County, CO
64943 McKean County, WI
53571 Lincoln County, WA
30102 New Castle County, NH
59652 Tishomingo County, MN
13129 Glascock County, NM
29112 Wise County, IN
41191 Tallapoosa County, MT
77728 Bedford County, AR
57427 Hill County, IN
28172 Lanier County, CO
11606 Middlesex County, ID
74891 Loudoun County, ID
72782 Richmond, City of, AZ
97761 Roscommon County, NJ
48218 IDAHO
54296 Lincoln County, OR
70284 NEW YORK
77523 Duchesne County, WY
94922 Delaware County, TN
03046 Union County, AL
89184 Monroe County, WA
57877 Union County, WY
05141 Burke County, NH
99817 San Miguel County, SC
42796 Atchison County, ND
04168 Clearfield County, OK
19649 Union County, WI
06969 Rabun County, SC
04423 Jasper County, KS
35371 Lee County, AK
46303 Garfield County, OK
46980 Vernon Parish, DE
76443 Montgomery County, MA
25173 Copiah County, WV
03529 Henry County, ND
11153 Coryell County, NC
01037 Christian County, MO
69423 DeKalb County, MO
78592 Atlantic County, ME
12708 Twiggs County, MO
24997 Grayson County, FL
60391 Fairfield County, CA
59895 Lafourche Parish, ME
19644 Otero County, HI
25349 SOUTH DAKOTA
52107 Trumbull County, AR
49456 Sunflower County, TN
84089 Box Butte County, KS
53348 Waller County, UT
15717 Wetzel County, OR
15120 Warrick County, CO
47308 Pocahontas County, OR
68583 Trinity County, CA
60757 Calhoun County, MD
18765 Tulsa County, ME
68231 INDIANA
74213 Wyoming County, SC
78450 Santa Cruz County, WI
90953 Fayette County, MA
40916 Clark County, MI
14445 Carter County, FL
22999 Jefferson County, SD
85538 Butler County, WA
31691 Clay County, VA
84621 Jefferson County, HI
60821 Solano County, NH
99337 Polk County, RI
10833 Marshall County, ID
69002 Koochiching County, RI
65904 Fulton County, MN
50177 Kemper County, UT
65892 Lincoln Parish, CA
72217 Stephens County, VA
35821 Jay County, IA
18599 Columbia County, OR
96292 Greene County, AK
53544 Alexander County, RI
27053 Rawlins County, GA
90144 Sutton County, AK
87229 Putnam County, NE
30201 Malheur County, NM
64731 Marin County, AL
78598 Johnson County, NE
55733 Siskiyou County, IA
06271 VERMONT
36217 Moniteau County, IA
77710 Pike County, MS
28078 Yates County, TX
35571 Big Stone County, WY
84485 Gentry County, FL
97599 Putnam County, ID
18648 Hot Spring County, AL
47631 Howard County, FL
45488 Williams County, TN
38190 Morgan County, WY
12495 Ware County, SD
12375 Dyer County, NC
15248 Jerauld County, KS
04273 Clay County, IN
58874 Kemper County, KS
59372 Kusilvak Census Area, DE
73870 Lincoln County, LA
40406 Moniteau County, AK
10485 Macon County, NV
20238 DISTRICT OF COLUMBIA
60909 New Madrid County, ID
89593 Runnels County, WY
06596 Anderson County, DC
33583 Converse County, MS
15836 Tuolumne County, VT
24005 Skamania County, MS
67307 Hardin County, NM
66319 Benewah County, KS
42869 Alcorn County, IL
12562 Karnes County, NE
30428 Upshur County, AR
23663 Defiance County, AR
10324 Chester County, VT
29615 Lincoln County, SC
94311 Carbon County, IL
55779 Owyhee County, SC
52957 Amite County, CA
42878 Allen County, DE
72499 Washington County, HI
76837 Loving County, ME
01724 Russell County, SD
64017 Sauk County, NE
18282 Saunders County, WV
27835 Spencer County, NH
01195 Adams County, NJ
85336 Mason County, WV
91050 Licking County, NY
85490 Franklin County, ID
27943 St. Louis County, PA
64396 Keya Paha County, WI
79046 Calcasieu Parish, KS
67693 Saratoga County, HI
30934 Becker County, KY
91242 Adair County, TX
61116 Bossier Parish, NJ
74363 Dunn County, AK
06016 Henry County, NY
57726 Cameron County, OR
68894 New York County, CO
10469 Sublette County, NH
45748 Hartford County, WY
73945 Garland County, PA
68099 Elbert County, IA
19150 Iberville Parish, CT
77599 Skagit County, AR
00245 Dewey County, MO
76720 Shelby County, MI
04933 Laurens County, WI
23056 Medina County, AL
54877 Fulton County, VT
68556 Nottoway County, CO
33731 Jersey County, NY
15399 Washington County, NH
99274 Howell County, WA
87531 Marion County, NH
47680 Jefferson County, NE
99386 Shelby County, VA
51261 WYOMING
79162 Benton County, MD
39398 Becker County, OK
71658 Hancock County, CA
61467 Trimble County, CA
41635 Ogle County, MD
29231 Saline County, RI
57160 Columbiana County, DC
25362 Ford County, AK
50054 Bonneville County, MT
62565 ALABAMA
33605 Wake County, NV
51157 Wayne County, NM
23219 Sauk County, OH
66497 Clark County, MO
81319 Stanley County, SD
18380 Yalobusha County, AR
36944 Levy County, SC
03233 Forsyth County, DC
61100 Butler County, WV
54918 Mecklenburg County, OH
34976 Chambers County, MN
99317 Portsmouth, City of, KY
60104 Atkinson County, MN
91415 Carlton County, MD
02107 Martin County, LA
62594 Alleghany County, IL
35529 Christian County, NV
91506 Windham County, IA
55776 Lamar County, OH
93149 Fond du Lac County, DC
19277 Dodge County, LA
51644 Bailey County, NH
30436 Highlands County, AZ
68937 Pierce County, WI
00166 Bon Homme County, WY
79306 Warren County, CT
55423 Monroe County, ND
57840 Hood County, PA
91183 Winchester, City of, OR
13885 Moore County, IN
54016 Snohomish County, VA
15111 Mercer County, VT
22506 Logan County, UT
70584 Lincoln County, DC
64044 Scioto County, OH
08965 ALASKA
40102 Drew County, IN
62545 Clinton County, CA
00226 Bryan County, UT
25047 Oakland County, PA
45890 Marquette County, MA
79844 Sutton County, MD
69195 Morgan County, RI
43521 LaRue County, ID
14715 Madison County, WI
46001 Windham County, LA
73623 Polk County, LA
24665 Aleutians West Census Area, MI
55147 Saginaw County, AR
12949 Mississippi County, TX
80200 Laurel County, NV
23412 Lowndes County, MS
90578 Franklin County, OR
37124 Escambia County, MN
70803 Sabine County, CT
46021 Grundy County, FL
58676 Crawford County, NC
91678 Montgomery County, MN
16103 Tyler County, AR
18941 Okeechobee County, MD
56247 Mason County, MN
69018 Genesee County, MD
83106 Fayette County, NM
40164 Tillman County, IN
65470 Chester County, NV
28739 Adams County, RI
07557 Oldham County, ND
49333 Hancock County, AL
34736 Chesterfield County, OR
02960 Kaufman County, AL
24028 Wolfe County, WI
31122 Ellis County, UT
21642 Vance County, LA
30351 Wilkinson County, MI
09707 Adams County, MS
86981 Alexander County, WI
19942 Bladen County, CO
15840 Franklin County, OH
14196 Putnam County, ME
17473 KANSAS
40452 DeKalb County, NV
98296 Campbell County, AR
52321 Santa Cruz County, CO
92072 Northumberland County, WV
39574 Somervell County, UT
64952 Sullivan County, MD
82648 Blaine County, ND
87834 Warren County, PA
25184 Itawamba County, MT
54589 Phillips County, WV
23153 Carson City, Consolidated Municipality of, DE
51448 Montgomery County, WY
34067 Crawford County, MN
36696 Union County, NV
97384 Eagle County, WY
14064 Meagher County, SD
56092 Clark County, OR
83233 Lee County, GA
51980 Pend Oreille County, MI
58861 Benzie County, NJ
83307 Crawford County, IA
72343 Greeley County, TX
25193 Camden County, HI
86564 Logan County, AK
68640 Allen Parish, KS
63513 Oakland County, NC
26521 Okfuskee County, WI
46258 Union County, WA
52244 Evangeline Parish, IL
84230 Missaukee County, LA
68312 Oneida County, KS
36462 Amador County, TN
93473 Kitsap County, MS
05203 Elbert County, DC
31039 Benson County, CO
53569 Jones County, SC
61549 Stone County, KS
12843 Hartford County, TX
17844 NEW JERSEY
02239 Lake County, NY
19435 Cook County, DE
10377 Montgomery County, CO
28732 Pierce County, WV
21677 Crow Wing County, IN
12829 Chickasaw County, NH
97561 Garfield County, AK
92450 Suffolk County, AZ
44068 MISSISSIPPI
23431 White Pine County, AZ
39530 Meigs County, IA
86339 Lawrence County, WV
13657 Cumberland County, KY
64396 ARKANSAS
09262 Monroe County, CO
72762 Wallace County, WV
00045 Owen County, KY
33468 Jefferson County, ME
19355 Rockwall County, AR
63049 Harding County, DC
22630 Grant County, RI
53994 Platte County, UT
65280 Florence County, OK
91467 Dodge County, MI
78069 Lauderdale County, WI
34821 TEXAS
00839 Washington County, IA
59706 Schoolcraft County, NH
86309 Mahaska County, IN
98363 Platte County, CT
53073 Jefferson Parish, GA
33405 Kimble County, MD
81573 Jackson County, NC
31232 Rolette County, NY
71031 Oxford County, DC
40154 Greeley County, ME
26765 Broward County, OR
80238 Steuben County, ND
21860 Delaware County, VT
62298 Big Stone County, SC
63601 Ector County, PA
45664 Bradley County, NJ
13294 Floyd County, MO
26470 Bandera County, MT
52913 Monmouth County, MT
34867 Mercer County, NY
75304 Panola County, NM
59505 Choctaw County, NE
91772 Frio County, WY
68198 Upshur County, OR
97981 Brewster County, AZ
91125 Churchill County, SC
92889 Box Butte County, DE
04294 Hemphill County, NH
89718 Rockbridge County, ME
13005 Clarke County, VT
73647 Wabash County, TX
30998 Okmulgee County, WY
18184 Winnebago County, KY
20901 Johnson County, ME
53090 Hamilton County, ID
22133 Culberson County, AZ
06811 Utah County, TX
61369 Quitman County, TN
32974 NEVADA
22522 Benton County, VA
70429 Franklin County, MO
61097 Hood River County, CT
12516 Stevens County, AZ
02830 Mohave County, AZ
41410 Powell County, MO
41327 Logan County, NY
70813 Hutchinson County, WV
97622 Lapeer County, AR
96458 Buncombe County, NM
75420 Wright County, OR
83505 El Dorado County, AL
61218 Wayne County, IA
46147 Gladwin County, FL
65636 Redwood County, WI
38588 Jones County, MI
70922 Wakulla County, IA
31811 Rusk County, MS
01311 Shelby County, NM
90920 Perry County, CO
49167 MASSACHUSETTS
62472 Malheur County, SD
60942 Butte County, NC
45970 Crawford County, NM
96659 Nemaha County, NC
59744 Greene County, VA
40332 Clinton County, SC
85040 Tuscola County, NE
79535 Custer County, IN
26129 Haskell County, ID
57514 Caldwell County, ME
90956 Mason County, SC
27413 Tarrant County, MT
61167 Jackson County, VA
75186 Davie County, NH
43556 Avoyelles Parish, SC
59827 Cowley County, OK
01029 Beaufort County, MN
47316 Union County, WA
60660 Ward County, AR
24893 Nemaha County, NH
27868 Custer County, NJ
12370 Fillmore County, FL
96559 Talbot County, SC
03086 Washburn County, RI
10268 Pitkin County, VT
88140 East Carroll Parish, OK
82824 Lawrence County, DC
75690 Giles County, OR
98545 Hoke County, SD
68293 Bristol Bay Borough, GA
76975 Cassia County, MD
13678 Nicollet County, OR
56615 Kiowa County, NV
73761 Franklin County, TX
80268 St. Clair County, AZ
17284 SOUTH CAROLINA
60562 Washington County, WV
51955 Leelanau County, AZ
17762 Baker County, TN
03051 Le Sueur County, WV
07294 Hall County, PA
97940 Fredericksburg, City of, LA
46775 Anoka County, MD
10482 Bexar County, DC
98342 Catawba County, MO
73076 NEBRASKA
20773 Henry County, AK
65572 Simpson County, LA
18492 Jackson County, OR
94949 Ben Hill County, AK
30348 Onondaga County, RI
09602 Polk County, MT
49582 Newton County, SC
14312 Placer County, AR
52231 Juab County, FL
44547 Wayne County, DC
00752 Lee County, SC
85790 Madison County, OK
47918 Wilbarger County, ME
59945 Ottawa County, AZ
33007 New Hanover County, ME
73882 Wyoming County, OK
77095 Jackson County, MI
79129 Fairfax, City of, MI
02470 Fairbanks North Star Borough, GA
58947 Hendry County, MN
33188 New Hanover County, WA
60185 Boone County, VT
85019 Seneca County, MO
75465 Perquimans County, UT
04006 Montgomery County, WY
29209 Fremont County, VT
75143 Meagher County, HI
46453 Fairbanks North Star Borough, MT
28621 Calhoun County, OH
30786 Suffolk County, OH
71917 Pittsburg County, OR
22437 Fort Bend County, IA
72834 Wayne County, VA
08397 Yellowstone County, MT
36616 Fillmore County, CA
75218 Washington County, OK
69794 Perkins County, NE
92371 Crawford County, NC
74410 Turner County, AZ
63819 Lexington County, OH
10837 Bernalillo County, WI
06946 Lewis County, SD
77530 Benewah County, RI
28931 Franklin County, MN
30122 Ionia County, MS
82976 Lander County, IA
90715 Dare County, IL
53115 Jay County, CT
20609 Taylor County, OH
10837 Saline County, PA
27152 Spink County, ID
83427 Claiborne County, FL
25957 Codington County, MI
45407 Decatur County, SD
81978 Pawnee County, NJ
94827 Hoke County, RI
83305 Lewis County, MS
92976 Webster County, NY
90152 Jones County, LA
63315 Fluvanna County, HI
92039 Camden County, NH
06987 Union County, RI
65945 Harrison County, DC
37909 SOUTH DAKOTA
44568 KENTUCKY
37301 Grant County, IA
73969 Estill County, OR
81830 Lee County, UT
46224 Oldham County, NJ
15330 Hancock County, NV
66247 Danville, City of, WA
57512 Garfield County, FL
68747 Gosper County, IA
83565 Chambers County, NE
68477 DISTRICT OF COLUMBIA
92860 Calhoun County, SC
43261 Fannin County, WA
47218 Chisago County, WA
23643 OKLAHOMA
96750 KENTUCKY
28430 Madison County, AL
71830 Clinch County, NC
26955 NORTH DAKOTA
10854 Hardin County, VA
17143 Ouray County, IA
55934 Bandera County, WV
15998 Mercer County, MA
97585 Payette County, ND
28696 Schuyler County, AR
63311 Honolulu, City and County of, NY
17608 CALIFORNIA
38313 Culpeper County, CA
25259 Yalobusha County, ME
84959 Gem County, NV
96077 Bonneville County, WA
96684 Lee County, PA
22538 Gray County, FL
00303 Wright County, TN
34568 Santa Clara County, CT
53407 Fairfield County, VT
84996 Craven County, NH
64352 Windsor County, MT
18744 Bourbon County, ID
58504 Bergen County, AL
81430 Essex County, SD
01116 Middlesex County, NE
10302 Montgomery County, CA
41858 Isabella County, LA
67525 Perry County, KY
18098 Marion County, AR
17845 Cabarrus County, KY
63224 Placer County, MN
15961 Pittsylvania County, OK
28311 Greene County, RI
11967 Brewster County, NV
27021 Jasper County, KY
73834 ARKANSAS
54538 Sherman County, ID
39333 Hamblen County, CA
41868 Carroll County, ND
88570 Roscommon County, HI
00520 Wyoming County, NE
90805 Karnes County, MS
77890 Guadalupe County, IA
91549 Nye County, NY
49613 Douglas County, DE
29938 Logan County, GA
68605 Washtenaw County, CA
71174 Meade County, NJ
48462 Noble County, NH
10301 Suffolk County, MO
25498 Clinton County, TN
14991 Independence County, TN
62840 Taliaferro County, NJ
65200 Benton County, OR
39454 Keweenaw County, TN
01799 Converse County, WI
35694 Culpeper County, WA
40362 Sherman County, WY
63338 Morton County, CO
03458 Lawrence County, CO
52447 Bacon County, OR
04965 Barber County, CA
98882 McKean County, RI
34127 Terry County, NH
56580 Brown County, AK
50418 Currituck County, DC
51328 Mellette County, VA
03734 Stevens County, TN
77789 San Mateo County, MA
92791 Wichita County, WI
46989 Yell County, OH
34759 Cuming County, KS
61371 Gibson County, DE
00942 Hardeman County, VA
09398 Livingston County, WI
97947 Brooks County, OH
55964 Bath County, IL
06655 Hubbard County, WV
24870 McPherson County, OK
86172 Coal County, MT
01913 Wright County, VT
48109 Lafayette County, NY
39620 Jeff Davis County, IA
61945 Morgan County, MN
25665 Sutter County, TX
79042 Logan County, CT
82183 Schuylkill County, MN
50698 Clark County, OR
84913 Choctaw County, HI
48548 Jeff Davis County, IL
07695 Manatee County, NY
86911 Monroe County, MI
24494 Henderson County, CO
34659 Price County, NJ
49876 Leelanau County, IL
64469 Randolph County, NH
00071 MAINE
16336 Paulding County, OR
68197 Bradley County, AZ
37147 Salem, City of, AL
28521 Ouachita County, OK
59539 CONNECTICUT
62397 Broadwater County, VA
08461 Wilson County, WA
07836 Washington County, UT
87264 Charlotte County, SD
61446 Plymouth County, MI
26021 Bethel Census Area, IN
42647 Greene County, ID
18561 Vermilion Parish, NY
91762 Lewis County, MS
89618 Pepin County, OH
04061 Montcalm County, DC
40327 Crawford County, IN
65268 Green County, PA
33629 Conejos County, MI
02820 Orleans Parish, MN
94717 Allen Parish, RI
08649 Baker County, IN
23545 Pima County, NH
68826 Burlington County, NH
27347 Anderson County, IN
44022 Mitchell County, NM
61773 Queen Anne's County, SD
58579 Barrow County, NM
74766 Hyde County, AL
03928 NEW JERSEY
53252 Grayson County, IA
75763 Dakota County, DE
03337 Waller County, IL
85490 Mercer County, MS
03422 Ward County, NH
66850 UTAH
22763 Franklin County, SC
40299 Chesterfield County, AK
17525 Curry County, WA
89612 Lake County, CT
05491 Florence County, UT
22976 Ontonagon County, CA
35088 San Joaquin County, OR
51720 Dodge County, DE
93836 VERMONT
72950 Oregon County, NH
62308 Lake County, OR
01121 Kingfisher County, OK
25450 Merrick County, ND
50735 Red River Parish, WV
40224 McCurtain County, ME
38739 Minnehaha County, WY
36891 Glasscock County, PA
46737 Winneshiek County, AR
79164 Calvert County, MN
